Class,Sitename,DN,WL,Slope,Level,Irrad,Aspect
遺跡,姫川２１遺跡,40,174.642486572266,1.50258040428162,32.8845138549805,5240.42626953125,南
遺跡,姫川２２遺跡,10,496.487670898438,4.11001968383789,121.263214111328,5254.85595703125,東
遺跡,姫川２３遺跡,20,130.384048461914,5.97347545623779,22.2177925109863,5238.60595703125,北
遺跡,姫川２４遺跡,30,215.870330810547,1.69880735874176,19.6675395965576,5238.09912109375,西
遺跡,姫川２５遺跡,20,120.415946960449,9.57091903686523,82.0699234008789,5227.4755859375,北
遺跡,姫川２６遺跡,40,94.3398132324219,5.22049474716187,62.7016334533691,5245.447265625,南
遺跡,姫川２７遺跡,40,202.484573364258,13.9956541061401,75.3952865600586,5227.490234375,南
遺跡,姫川２８遺跡,20,130.384048461914,9.87058448791504,48.0869560241699,5243.65625,北
遺跡,姫川２９遺跡,40,283.196044921875,7.48448133468628,72.5614013671875,5226.81982421875,南
遺跡,姫川３遺跡,40,120,1.31662571430206,15.2827987670898,5237.134765625,南
遺跡,姫川４遺跡,40,350,8.19831943511963,24.5179576873779,5239.8701171875,南
遺跡,姫川５遺跡,30,445.533386230469,19.5113906860352,38.6282691955566,5049.8740234375,西
遺跡,姫川７遺跡,30,200,2.60850930213928,17.353536605835,5237.44091796875,西
遺跡,姫川９遺跡,40,70,1.69518828392029,15.8412981033325,5237.44287109375,南
遺跡,姫川遺跡,40,110.453605651855,14.9243202209473,33.7930068969727,5241.03759765625,南
遺跡,富岡１０遺跡,30,268.700592041016,16.5549411773682,87.4020385742188,5172.34326171875,西
遺跡,富岡１１遺跡,40,342.052612304688,5.60912609100342,81.1029281616211,5248.24951171875,南
遺跡,富岡１２遺跡,10,706.045288085938,0.847196757793427,105.393600463867,5229.99462890625,東
遺跡,富岡２遺跡,30,165.52946472168,5.23611116409302,70.8240432739258,5224.228515625,西
遺跡,富岡３遺跡,30,382.753173828125,8.56188583374023,89.3549652099609,5228.7578125,西
遺跡,富岡４遺跡,40,303.64453125,4.26615142822266,83.517219543457,5247.16845703125,南
遺跡,富岡５遺跡,20,50,19.0984153747559,85.1599502563477,5078.69482421875,北
遺跡,富岡６遺跡,10,460.977203369141,2.16616296768188,101.344268798828,5249.84326171875,東
遺跡,富岡７遺跡,30,598.080261230469,11.4113922119141,108.099349975586,5230.6025390625,西
遺跡,富岡８遺跡,30,78.1025009155273,5.75513315200806,78.8545837402344,5171.033203125,西
遺跡,富岡９遺跡,40,323.109893798828,7.62839221954346,96.5513916015625,5249.40673828125,南
遺跡,富岡遺跡,30,302.654907226562,3.12119746208191,96.9351577758789,5249.310546875,西
遺跡,豊浜遺跡,10,70,11.5594816207886,42.5877304077148,5214.5634765625,東
遺跡,緑町１０遺跡,20,120,0.278762668371201,4.67063093185425,5236.25732421875,北
遺跡,緑町１１遺跡,20,143.17822265625,2.93683433532715,9.03476905822754,5162.33740234375,北
遺跡,緑町１２遺跡,20,200,12.1344614028931,20.628360748291,5069.80078125,北
